age_group,base_life_expectancy,smoking,exercise,diet,alcohol,sleep,stress,social_connections,lifestyle_impact,adjusted_life_expectancy,years_lost,years_gained,risk_score
40-44,39.0,former,moderate,average,none,average,moderate,moderate,-5.1000000000000005,33.9,5.1000000000000005,0.0,60.2
55-59,24.6,current_heavy,moderate,excellent,heavy,good,moderate,strong,-9.7,14.900000000000002,9.7,0.0,69.4
45-49,34.2,former,sedentary,poor,heavy,poor,minimal,moderate,-14.900000000000002,19.3,14.900000000000002,0.0,79.80000000000001
60-64,19.8,current_light,vigorous,poor,moderate,poor,minimal,moderate,-7.6000000000000005,12.2,7.6000000000000005,0.0,65.2
55-59,24.6,never,light,excellent,none,poor,minimal,moderate,1.1999999999999997,25.8,0.0,1.1999999999999997,47.6
35-39,43.8,never,moderate,average,moderate,poor,low,limited,-5.5,38.3,5.5,0.0,61.0
30-34,48.6,never,moderate,poor,heavy,excellent,moderate,moderate,-7.8,40.800000000000004,7.8,0.0,65.6
45-49,34.2,current_heavy,light,poor,heavy,good,minimal,strong,-14.5,19.700000000000003,14.5,0.0,79.0
35-39,43.8,current_heavy,vigorous,average,none,poor,high,isolated,-15.399999999999999,28.4,15.399999999999999,0.0,80.8
50-54,29.4,current_light,moderate,poor,none,average,moderate,isolated,-12.7,16.7,12.7,0.0,75.4
30-34,48.6,never,vigorous,average,moderate,excellent,moderate,moderate,0.19999999999999973,48.800000000000004,0.0,0.19999999999999973,49.6
60-64,19.8,former,moderate,excellent,none,good,low,moderate,0.7999999999999998,20.6,0.0,0.7999999999999998,48.4
30-34,48.6,current_light,moderate,good,light,average,moderate,limited,-8.3,40.3,8.3,0.0,66.6
60-64,19.8,former,light,average,heavy,excellent,high,isolated,-15.099999999999998,4.700000000000003,15.099999999999998,0.0,80.19999999999999
65-69,15.0,never,vigorous,average,heavy,good,minimal,limited,-2.9000000000000004,12.1,2.9000000000000004,0.0,55.8
50-54,29.4,current_heavy,light,average,moderate,excellent,low,limited,-12.499999999999998,16.9,12.499999999999998,0.0,75.0
40-44,39.0,former,sedentary,good,light,excellent,moderate,isolated,-9.2,29.8,9.2,0.0,68.4
45-49,34.2,current_light,vigorous,poor,moderate,poor,low,moderate,-9.4,24.800000000000004,9.4,0.0,68.8
60-64,19.8,never,vigorous,excellent,moderate,excellent,moderate,moderate,4.099999999999999,23.9,0.0,4.099999999999999,41.800000000000004
25-29,53.4,former,sedentary,average,heavy,good,high,strong,-13.8,39.599999999999994,13.8,0.0,77.6
35-39,43.8,current_light,moderate,average,none,poor,high,limited,-12.5,31.299999999999997,12.5,0.0,75.0
45-49,34.2,current_heavy,sedentary,average,none,average,moderate,isolated,-18.2,16.000000000000004,18.2,0.0,86.4
45-49,34.2,never,light,poor,heavy,good,moderate,limited,-12.1,22.1,12.1,0.0,74.2
65-69,15.0,former,light,excellent,heavy,good,high,moderate,-9.8,5.199999999999999,9.8,0.0,69.6
65-69,15.0,never,vigorous,poor,none,excellent,high,limited,-3.6000000000000005,11.399999999999999,3.6000000000000005,0.0,57.2
50-54,29.4,current_heavy,light,poor,moderate,excellent,moderate,limited,-15.799999999999997,13.600000000000001,15.799999999999997,0.0,81.6
35-39,43.8,current_light,light,excellent,moderate,average,minimal,isolated,-7.2,36.599999999999994,7.2,0.0,64.4
30-34,48.6,current_heavy,light,good,moderate,average,moderate,moderate,-13.7,34.900000000000006,13.7,0.0,77.4
45-49,34.2,never,moderate,poor,heavy,good,low,isolated,-10.8,23.400000000000002,10.8,0.0,71.6
65-69,15.0,current_light,moderate,excellent,heavy,average,low,limited,-9.1,5.9,9.1,0.0,68.2
65-69,15.0,former,moderate,excellent,light,good,moderate,limited,-2.0,13.0,2.0,0.0,54.0
65-69,15.0,current_light,moderate,average,light,excellent,moderate,strong,-3.9000000000000004,11.1,3.9000000000000004,0.0,57.8
30-34,48.6,current_heavy,light,average,moderate,average,low,isolated,-16.4,32.2,16.4,0.0,82.8
40-44,39.0,current_light,moderate,excellent,light,average,low,moderate,-3.2,35.8,3.2,0.0,56.4
35-39,43.8,current_light,moderate,average,heavy,excellent,minimal,isolated,-10.700000000000001,33.099999999999994,10.700000000000001,0.0,71.4
45-49,34.2,never,moderate,excellent,moderate,good,low,moderate,1.5999999999999999,35.800000000000004,0.0,1.5999999999999999,46.8
65-69,15.0,current_heavy,moderate,excellent,none,excellent,minimal,limited,-3.2999999999999994,11.700000000000001,3.2999999999999994,0.0,56.6
20-24,58.2,current_light,vigorous,average,none,excellent,moderate,isolated,-6.1,52.1,6.1,0.0,62.2
55-59,24.6,current_heavy,light,average,none,poor,low,isolated,-16.0,8.600000000000001,16.0,0.0,82.0
65-69,15.0,current_heavy,moderate,excellent,light,average,high,limited,-11.299999999999999,3.700000000000001,11.299999999999999,0.0,72.6
20-24,58.2,former,moderate,excellent,none,excellent,minimal,isolated,1.2000000000000002,59.400000000000006,0.0,1.2000000000000002,47.6
20-24,58.2,never,vigorous,average,light,excellent,low,isolated,-0.20000000000000018,58.0,0.20000000000000018,0.0,50.4
25-29,53.4,never,vigorous,average,none,average,moderate,strong,1.9,55.3,0.0,1.9,46.2
20-24,58.2,never,light,good,moderate,average,low,limited,-4.9,53.300000000000004,4.9,0.0,59.8
65-69,15.0,former,moderate,poor,heavy,good,minimal,isolated,-11.5,3.5,11.5,0.0,73.0
55-59,24.6,former,vigorous,excellent,light,average,minimal,isolated,0.7999999999999998,25.400000000000002,0.0,0.7999999999999998,48.4
50-54,29.4,former,light,good,none,poor,moderate,limited,-8.200000000000001,21.199999999999996,8.200000000000001,0.0,66.4
60-64,19.8,never,moderate,poor,light,poor,high,moderate,-8.8,11.0,8.8,0.0,67.6
65-69,15.0,never,light,poor,moderate,good,minimal,strong,-2.2,12.8,2.2,0.0,54.4
65-69,15.0,current_heavy,vigorous,good,light,average,low,strong,-4.999999999999999,10.0,4.999999999999999,0.0,60.0
30-34,48.6,never,light,good,moderate,good,minimal,isolated,-4.0,44.6,4.0,0.0,58.0
40-44,39.0,former,light,average,moderate,good,moderate,moderate,-7.800000000000001,31.2,7.800000000000001,0.0,65.6
35-39,43.8,current_heavy,sedentary,average,heavy,excellent,minimal,isolated,-18.3,25.499999999999996,18.3,0.0,86.6
40-44,39.0,former,light,average,none,excellent,minimal,limited,-2.8000000000000007,36.2,2.8000000000000007,0.0,55.6
30-34,48.6,current_heavy,light,average,heavy,average,moderate,limited,-19.5,29.1,19.5,0.0,89.0
30-34,48.6,current_heavy,sedentary,average,light,good,low,isolated,-16.7,31.900000000000002,16.7,0.0,83.4
55-59,24.6,never,sedentary,excellent,heavy,good,low,moderate,-6.1,18.5,6.1,0.0,62.2
50-54,29.4,former,moderate,excellent,heavy,good,low,moderate,-4.5,24.9,4.5,0.0,59.0
